930.69458	9.78579
931.38519	9.59251
932.07574	9.29386
932.76630	8.88709
933.45685	8.93711
934.14740	8.79521
934.83789	8.54654
935.52838	8.49927
936.21887	8.71817
936.90930	8.51548
937.59973	8.30062
938.29016	8.23711
938.98053	8.21277
939.67090	8.07495
940.36127	8.09386
941.05157	8.27899
941.74188	8.51413
942.43219	8.58171
943.12250	8.83709
943.81274	8.88169
944.50299	9.07628
945.19318	9.04657
945.88336	8.91143
946.57355	9.14926
947.26373	9.70198
947.95386	10.40603
948.64398	11.13441
949.33411	11.79792
950.02417	12.33847
950.71423	13.09253
951.40430	13.64257
952.09436	14.34795
952.78436	15.22225
953.47437	15.97090
954.16431	16.68578
954.85425	17.58441
955.54419	18.83172
956.23413	20.20469
956.92401	21.41009
957.61389	22.86956
958.30377	25.15739
958.99359	27.81409
959.68341	29.74656
960.37317	31.47491
961.06299	33.63036
961.75275	35.29524
962.44250	36.61819
963.13220	38.60738
963.82190	40.34656
964.51160	41.77629
965.20123	43.08442
965.89087	45.07494
966.58051	46.45872
967.27014	47.75467
967.95972	48.90334
968.64929	50.89386
969.33887	52.20602
970.02838	53.12629
970.71790	53.68980
971.40735	54.60197
972.09686	55.83575
972.78632	56.81682
973.47571	57.78709
974.16516	58.54249
974.85455	59.71410
975.54388	61.00601
976.23328	61.77765
976.92261	62.92089
977.61194	64.38306
978.30121	65.96144
978.99048	68.03845
979.67975	70.30061
980.36902	73.24115
981.05823	75.51276
981.74744	77.72089
982.43658	79.96956
983.12573	83.20470
983.81488	86.59386
984.50403	89.09251
985.19312	92.03712
985.88220	94.85871
986.57129	97.14656
987.26031	99.45196
987.94934	101.17088
988.63837	103.21143
989.32733	104.45604
990.01630	105.04521
990.70526	105.03170
991.39417	104.93983
992.08307	104.67901
992.77197	103.76414
993.46088	102.06010
994.14972	100.30738
994.83856	98.60197
995.52734	96.48173
996.21613	94.18982
996.90491	91.31413
997.59369	88.85332
998.28241	85.66547
998.97113	83.23843
999.65979	80.61412
1000.34845	77.47086
1001.03711	74.43305
1001.72577	71.66953
1002.41437	68.68980
1003.10297	65.80330
1003.79156	63.52492
1004.48010	61.15198
